event,machine,timestamp,label
Logout generate 375500 bytes performed by USER_J,1,1706630349,-1
Logout generate 259 bytes performed by USER_I,1,1705161549,1
Create generate 87149 bytes performed by USER_Z,1,1704988749,1
Login generate 22 bytes performed by USER_X,1,1705593549,1
Login generate 49 bytes performed by USER_N,1,1704988749,1
Logout generate 578 bytes performed by USER_D,1,1706111949,1
Create generate 70319 bytes performed by USER_S,1,1706716749,1
Login generate 80 bytes performed by USER_A,1,1706198349,1
Login generate 17 bytes performed by USER_S,1,1706716749,1
Logout generate 438 bytes performed by USER_U,1,1705939149,1
Edit generate 3546 bytes performed by USER_Z,1,1706975949,1
Edit generate 8730 bytes performed by USER_G,1,1705679949,1
Edit generate 1252500 bytes performed by USER_W,1,1706975949,-1
Create generate 77828 bytes performed by USER_V,1,1707148749,1
Edit generate 7961 bytes performed by USER_P,1,1706889549,1
Logout generate 594 bytes performed by USER_R,1,1705247949,1
Login generate 2 bytes performed by USER_A,1,1706198349,1
Logout generate 128 bytes performed by USER_U,1,1706198349,1
Create generate 94012 bytes performed by USER_F,1,1706457549,1
Logout generate 413 bytes performed by USER_X,1,1705075149,1
Logout generate 584 bytes performed by USER_F,1,1704988749,1
Edit generate 2137000 bytes performed by USER_Y,1,1706284749,-1
Logout generate 829 bytes performed by USER_M,1,1704815949,1
Create generate 77362 bytes performed by USER_W,1,1707062349,1
Logout generate 581 bytes performed by USER_Y,1,1706630349,1
Logout generate 833 bytes performed by USER_H,1,1706025549,1
Logout generate 893 bytes performed by USER_L,1,1706371149,1
Logout generate 917 bytes performed by USER_T,1,1707235149,1
Edit generate 7358 bytes performed by USER_O,1,1705075149,1
Edit generate 3566 bytes performed by USER_A,1,1704902349,1
Logout generate 905 bytes performed by USER_G,1,1705852749,1
Create generate 9380000 bytes performed by USER_X,1,1705766349,-1
Logout generate 850 bytes performed by USER_E,1,1706025549,1
Create generate 38219 bytes performed by USER_I,1,1706371149,1
Logout generate 383 bytes performed by USER_E,1,1707062349,1
Login generate 94 bytes performed by USER_B,1,1705852749,1
Create generate 14865500 bytes performed by USER_P,1,1706457549,-1
Create generate 35800000 bytes performed by USER_G,1,1705420749,-1
Login generate 81 bytes performed by USER_Q,1,1704729549,1
Edit generate 3498 bytes performed by USER_C,1,1705420749,1
Logout generate 293 bytes performed by USER_G,1,1706630349,1
Logout generate 817 bytes performed by USER_J,1,1706457549,1
Login generate 63 bytes performed by USER_T,1,1706284749,1
Create generate 30848 bytes performed by USER_L,1,1705939149,1
Logout generate 122 bytes performed by USER_F,1,1706716749,1
Create generate 69531 bytes performed by USER_P,1,1704815949,1
Logout generate 381 bytes performed by USER_J,1,1705679949,1
Edit generate 3620 bytes performed by USER_A,1,1704902349,1
Edit generate 1814 bytes performed by USER_X,1,1706975949,1
Login generate 1 bytes performed by USER_H,1,1705334349,1
Logout generate 238 bytes performed by USER_U,1,1706111949,1
Edit generate 4822 bytes performed by USER_C,1,1706543949,1
Login generate 87 bytes performed by USER_T,1,1705939149,1
Create generate 92854 bytes performed by USER_N,1,1706975949,1
Edit generate 6315 bytes performed by USER_R,1,1706371149,1
Create generate 23746 bytes performed by USER_W,1,1705161549,1
Logout generate 330 bytes performed by USER_F,1,1706803149,1
Create generate 16449 bytes performed by USER_Z,1,1706025549,1
Logout generate 213500 bytes performed by USER_O,1,1706198349,-1
Edit generate 6326 bytes performed by USER_X,1,1707148749,1
Logout generate 382000 bytes performed by USER_T,1,1707062349,-1
Logout generate 373 bytes performed by USER_J,1,1705334349,1
Logout generate 896 bytes performed by USER_A,1,1706198349,1
Logout generate 836 bytes performed by USER_B,1,1705247949,1
Edit generate 8093 bytes performed by USER_N,1,1706198349,1
Logout generate 293 bytes performed by USER_X,1,1705679949,1
Create generate 97520 bytes performed by USER_K,1,1705852749,1
Logout generate 108500 bytes performed by USER_C,1,1705766349,-1
Edit generate 3939500 bytes performed by USER_B,1,1706025549,-1
Login generate 68 bytes performed by USER_I,1,1706198349,1
Login generate 13500 bytes performed by USER_U,1,1705420749,-1
Logout generate 402 bytes performed by USER_Z,1,1705420749,1
Logout generate 239 bytes performed by USER_L,1,1707148749,1
Create generate 82288 bytes performed by USER_Q,1,1705852749,1
Logout generate 912 bytes performed by USER_N,1,1705334349,1
Login generate 78 bytes performed by USER_X,1,1706198349,1
Edit generate 7761 bytes performed by USER_G,1,1706111949,1
Create generate 36511 bytes performed by USER_T,1,1707062349,1
Edit generate 9168 bytes performed by USER_J,1,1706803149,1
Edit generate 2293 bytes performed by USER_N,1,1704988749,1
Login generate 25 bytes performed by USER_K,1,1706111949,1
Login generate 96 bytes performed by USER_P,1,1706716749,1
Login generate 24 bytes performed by USER_C,1,1704902349,1
Login generate 68 bytes performed by USER_V,1,1705161549,1
Edit generate 582000 bytes performed by USER_I,1,1707062349,-1
Create generate 44262 bytes performed by USER_Y,1,1704988749,1
Edit generate 1414000 bytes performed by USER_P,1,1705852749,-1
Edit generate 3955 bytes performed by USER_Y,1,1706284749,1
Create generate 62547 bytes performed by USER_C,1,1705939149,1
Login generate 42 bytes performed by USER_N,1,1706198349,1
Logout generate 556 bytes performed by USER_D,1,1706975949,1
Logout generate 750 bytes performed by USER_I,1,1705593549,1
Create generate 85965 bytes performed by USER_H,1,1705679949,1
Edit generate 6679 bytes performed by USER_C,1,1706803149,1
Login generate 31 bytes performed by USER_U,1,1705852749,1
Login generate 44 bytes performed by USER_B,1,1705247949,1
Create generate 30002500 bytes performed by USER_Y,1,1705852749,-1
Login generate 19 bytes performed by USER_B,1,1704729549,1
Create generate 89859 bytes performed by USER_Q,1,1705507149,1
Create generate 85261 bytes performed by USER_W,1,1706975949,1
Login generate 36 bytes performed by USER_A,1,1705420749,1
Logout generate 746 bytes performed by USER_R,1,1705247949,1
Edit generate 3348 bytes performed by USER_P,1,1706111949,1
Create generate 60893 bytes performed by USER_M,1,1704729549,1
Create generate 37796 bytes performed by USER_J,1,1706543949,1
Logout generate 776 bytes performed by USER_Q,1,1704902349,1
Create generate 36584 bytes performed by USER_R,1,1706543949,1
Create generate 79191 bytes performed by USER_M,1,1704902349,1
Login generate 92 bytes performed by USER_H,1,1706198349,1
Logout generate 355 bytes performed by USER_O,1,1707235149,1
Edit generate 9977 bytes performed by USER_A,1,1706371149,1
Create generate 62189 bytes performed by USER_V,1,1705852749,1
Create generate 96838 bytes performed by USER_X,1,1705852749,1
Logout generate 128 bytes performed by USER_M,1,1706025549,1
Logout generate 363 bytes performed by USER_B,1,1707062349,1
Create generate 42795 bytes performed by USER_O,1,1705852749,1
Create generate 35021 bytes performed by USER_C,1,1704729549,1
Edit generate 5903 bytes performed by USER_I,1,1706457549,1
Create generate 36290 bytes performed by USER_H,1,1705420749,1
Login generate 88 bytes performed by USER_N,1,1705766349,1
Create generate 41715 bytes performed by USER_L,1,1707062349,1
Edit generate 4129 bytes performed by USER_X,1,1705939149,1
Login generate 83 bytes performed by USER_V,1,1705679949,1
Login generate 77 bytes performed by USER_Z,1,1705161549,1
Edit generate 9423 bytes performed by USER_S,1,1706803149,1
Login generate 66 bytes performed by USER_N,1,1705420749,1
Logout generate 407 bytes performed by USER_R,1,1707235149,1
Login generate 64 bytes performed by USER_Q,1,1706716749,1
Edit generate 3243 bytes performed by USER_K,1,1704729549,1
Create generate 57049 bytes performed by USER_R,1,1705161549,1
Create generate 11338 bytes performed by USER_A,1,1704988749,1
Login generate 67 bytes performed by USER_F,1,1705852749,1
Logout generate 124000 bytes performed by USER_S,1,1705679949,-1
Edit generate 3594500 bytes performed by USER_A,1,1705766349,-1
Create generate 85188 bytes performed by USER_C,1,1706284749,1
Create generate 22347 bytes performed by USER_V,1,1706025549,1
Logout generate 518 bytes performed by USER_N,1,1707235149,1
Logout generate 937 bytes performed by USER_P,1,1704729549,1
Create generate 40329 bytes performed by USER_K,1,1705939149,1
Login generate 84 bytes performed by USER_Z,1,1706457549,1
Edit generate 6657 bytes performed by USER_Z,1,1706284749,1
Edit generate 5964 bytes performed by USER_X,1,1704988749,1
Logout generate 512 bytes performed by USER_S,1,1707148749,1
Edit generate 4794 bytes performed by USER_M,1,1705420749,1
Edit generate 9041 bytes performed by USER_F,1,1706716749,1
Login generate 67 bytes performed by USER_X,1,1707235149,1
Login generate 79 bytes performed by USER_N,1,1704902349,1
Logout generate 136 bytes performed by USER_W,1,1706457549,1
Edit generate 1603000 bytes performed by USER_C,1,1704815949,-1
Logout generate 549 bytes performed by USER_Y,1,1704988749,1
Login generate 52 bytes performed by USER_Y,1,1706889549,1
Login generate 33000 bytes performed by USER_D,1,1706630349,-1
Create generate 31114 bytes performed by USER_N,1,1706457549,1
Logout generate 470 bytes performed by USER_J,1,1706630349,1
Edit generate 8431 bytes performed by USER_O,1,1705075149,1
Edit generate 4051 bytes performed by USER_L,1,1706198349,1
Create generate 6865500 bytes performed by USER_P,1,1705852749,-1
Logout generate 256000 bytes performed by USER_J,1,1705075149,-1
Create generate 23994 bytes performed by USER_X,1,1704988749,1
Logout generate 307000 bytes performed by USER_I,1,1705939149,-1
Create generate 16999 bytes performed by USER_H,1,1706111949,1
Login generate 1 bytes performed by USER_S,1,1704729549,1
Edit generate 7868 bytes performed by USER_C,1,1705075149,1
Create generate 47165 bytes performed by USER_Y,1,1707148749,1
Edit generate 7105 bytes performed by USER_A,1,1704815949,1
Create generate 39666500 bytes performed by USER_Y,1,1704729549,-1
Logout generate 69500 bytes performed by USER_W,1,1704988749,-1
Create generate 61643 bytes performed by USER_Z,1,1706716749,1
Create generate 99517 bytes performed by USER_W,1,1706284749,1
Edit generate 1989000 bytes performed by USER_J,1,1704729549,-1
Logout generate 322500 bytes performed by USER_R,1,1705593549,-1
Logout generate 587 bytes performed by USER_V,1,1706543949,1
Logout generate 838 bytes performed by USER_I,1,1705247949,1
Create generate 81799 bytes performed by USER_J,1,1707235149,1
Create generate 28246 bytes performed by USER_A,1,1706630349,1
Edit generate 1449 bytes performed by USER_J,1,1705679949,1
Edit generate 9573 bytes performed by USER_W,1,1706371149,1
Create generate 20304 bytes performed by USER_Z,1,1706975949,1
Edit generate 2007 bytes performed by USER_A,1,1704729549,1
Edit generate 2468 bytes performed by USER_G,1,1706630349,1
Create generate 73512 bytes performed by USER_I,1,1705161549,1
Login generate 25 bytes performed by USER_E,1,1705593549,1
Login generate 54 bytes performed by USER_A,1,1706803149,1
Create generate 63575 bytes performed by USER_L,1,1704902349,1
Create generate 88272 bytes performed by USER_G,1,1707148749,1
Login generate 20 bytes performed by USER_C,1,1706457549,1
Edit generate 5855 bytes performed by USER_W,1,1705679949,1
Logout generate 759 bytes performed by USER_R,1,1704815949,1
Create generate 48169 bytes performed by USER_B,1,1705075149,1
Logout generate 230 bytes performed by USER_U,1,1704815949,1
Login generate 90 bytes performed by USER_Z,1,1706198349,1
Create generate 63036 bytes performed by USER_L,1,1707148749,1
Create generate 27114 bytes performed by USER_S,1,1705247949,1
Create generate 42926 bytes performed by USER_B,1,1705939149,1
Create generate 46108 bytes performed by USER_V,1,1705161549,1
Logout generate 207 bytes performed by USER_G,1,1706284749,1
Login generate 20 bytes performed by USER_H,1,1707062349,1
Edit generate 5310 bytes performed by USER_B,1,1704729549,1
Login generate 30 bytes performed by USER_K,1,1706630349,1
Create generate 40508 bytes performed by USER_S,1,1707148749,1
Create generate 20107 bytes performed by USER_H,1,1707148749,1
Logout generate 145 bytes performed by USER_Z,1,1706975949,1
Edit generate 4993 bytes performed by USER_X,1,1705161549,1
Login generate 49 bytes performed by USER_I,1,1705852749,1
Login generate 41000 bytes performed by USER_J,1,1706716749,-1
Login generate 6000 bytes performed by USER_M,1,1706889549,-1
Create generate 25945500 bytes performed by USER_Z,1,1705420749,-1
Edit generate 8780 bytes performed by USER_G,1,1705939149,1
Create generate 50988 bytes performed by USER_P,1,1705679949,1
Logout generate 151500 bytes performed by USER_S,1,1706975949,-1
Create generate 97701 bytes performed by USER_X,1,1706716749,1
Login generate 60 bytes performed by USER_Z,1,1705420749,1
Logout generate 146 bytes performed by USER_K,1,1706284749,1
Create generate 36342000 bytes performed by USER_U,1,1707062349,-1
Logout generate 645 bytes performed by USER_Q,1,1705334349,1
Edit generate 7910 bytes performed by USER_M,1,1705161549,1
Create generate 48202 bytes performed by USER_I,1,1707062349,1
Create generate 98390 bytes performed by USER_T,1,1706975949,1
Create generate 72955 bytes performed by USER_D,1,1705075149,1
Create generate 32637 bytes performed by USER_V,1,1706025549,1
Create generate 5300000 bytes performed by USER_B,1,1706111949,-1
Create generate 83455 bytes performed by USER_J,1,1706111949,1
Logout generate 299 bytes performed by USER_Q,1,1705593549,1
Edit generate 4303 bytes performed by USER_W,1,1706111949,1
Edit generate 6720 bytes performed by USER_P,1,1706457549,1
Edit generate 7407 bytes performed by USER_T,1,1706543949,1
Login generate 3 bytes performed by USER_H,1,1704902349,1
Edit generate 5627 bytes performed by USER_F,1,1706803149,1
Create generate 13912 bytes performed by USER_T,1,1705420749,1
Create generate 22416 bytes performed by USER_J,1,1707062349,1
Logout generate 174 bytes performed by USER_C,1,1705766349,1
Edit generate 6891 bytes performed by USER_C,1,1705075149,1
Logout generate 979 bytes performed by USER_H,1,1706630349,1
Logout generate 745 bytes performed by USER_G,1,1706371149,1
Login generate 85 bytes performed by USER_F,1,1706716749,1
Edit generate 8639 bytes performed by USER_I,1,1706457549,1
Logout generate 964 bytes performed by USER_Y,1,1705161549,1
Create generate 53218 bytes performed by USER_P,1,1705247949,1
Logout generate 336 bytes performed by USER_O,1,1704729549,1
Edit generate 5593 bytes performed by USER_K,1,1705420749,1
Create generate 88192 bytes performed by USER_Q,1,1705075149,1
Logout generate 900 bytes performed by USER_D,1,1705593549,1
Login generate 32 bytes performed by USER_Z,1,1705420749,1
Logout generate 775 bytes performed by USER_Q,1,1706457549,1
Login generate 14 bytes performed by USER_E,1,1706198349,1
Create generate 49480500 bytes performed by USER_N,1,1706457549,-1
Create generate 67285 bytes performed by USER_R,1,1705852749,1
Logout generate 574 bytes performed by USER_U,1,1704815949,1
Create generate 66117 bytes performed by USER_B,1,1706025549,1
Create generate 86304 bytes performed by USER_V,1,1706630349,1
Create generate 96535 bytes performed by USER_O,1,1705161549,1
Login generate 4 bytes performed by USER_A,1,1706371149,1
Edit generate 4306 bytes performed by USER_V,1,1707235149,1
Create generate 31316 bytes performed by USER_V,1,1706975949,1
Logout generate 858 bytes performed by USER_K,1,1707235149,1
Login generate 4 bytes performed by USER_X,1,1705507149,1
Edit generate 3422 bytes performed by USER_N,1,1707062349,1
Edit generate 2382500 bytes performed by USER_L,1,1707062349,-1
Create generate 92326 bytes performed by USER_O,1,1706803149,1
Create generate 83018 bytes performed by USER_N,1,1705852749,1
Login generate 55 bytes performed by USER_L,1,1705852749,1
Login generate 34500 bytes performed by USER_O,1,1707148749,-1
Edit generate 2408 bytes performed by USER_S,1,1705247949,1
Logout generate 767 bytes performed by USER_A,1,1704902349,1
Edit generate 2097 bytes performed by USER_Y,1,1704988749,1
Logout generate 128 bytes performed by USER_Y,1,1705852749,1
Logout generate 564 bytes performed by USER_R,1,1705852749,1
Logout generate 568 bytes performed by USER_K,1,1705766349,1
Create generate 31450 bytes performed by USER_G,1,1707062349,1
Edit generate 2889 bytes performed by USER_B,1,1705247949,1
Login generate 62 bytes performed by USER_I,1,1705075149,1
Login generate 94 bytes performed by USER_J,1,1706543949,1
Edit generate 8639 bytes performed by USER_B,1,1704815949,1
Login generate 83 bytes performed by USER_D,1,1704902349,1
Logout generate 74000 bytes performed by USER_F,1,1704729549,-1
Create generate 53008 bytes performed by USER_F,1,1705766349,1
Login generate 64 bytes performed by USER_P,1,1706889549,1
Create generate 5784000 bytes performed by USER_F,1,1706198349,-1
Create generate 97473 bytes performed by USER_Q,1,1706889549,1
Create generate 30938 bytes performed by USER_T,1,1704815949,1
Edit generate 4051 bytes performed by USER_Z,1,1706543949,1
Create generate 20492 bytes performed by USER_M,1,1706198349,1
Edit generate 6128 bytes performed by USER_R,1,1705075149,1
Login generate 32 bytes performed by USER_U,1,1706111949,1
Login generate 10 bytes performed by USER_F,1,1706025549,1
Logout generate 613 bytes performed by USER_J,1,1706716749,1
Login generate 21 bytes performed by USER_N,1,1705247949,1
Create generate 66911 bytes performed by USER_U,1,1706198349,1
Logout generate 651 bytes performed by USER_T,1,1706457549,1
Edit generate 7626 bytes performed by USER_U,1,1704988749,1
Login generate 27 bytes performed by USER_G,1,1705852749,1
Edit generate 5430 bytes performed by USER_W,1,1706025549,1
Logout generate 566 bytes performed by USER_T,1,1706889549,1
Edit generate 9120 bytes performed by USER_E,1,1705852749,1
Logout generate 460 bytes performed by USER_Y,1,1706630349,1
Edit generate 7411 bytes performed by USER_D,1,1707235149,1
Create generate 34758000 bytes performed by USER_H,1,1707235149,-1
Edit generate 1799 bytes performed by USER_W,1,1706803149,1
Logout generate 925 bytes performed by USER_R,1,1704988749,1
Logout generate 361 bytes performed by USER_Q,1,1707062349,1
Login generate 34 bytes performed by USER_G,1,1704815949,1
Logout generate 225 bytes performed by USER_G,1,1706371149,1
Logout generate 403 bytes performed by USER_P,1,1706975949,1
Logout generate 647 bytes performed by USER_W,1,1705247949,1
Login generate 55 bytes performed by USER_B,1,1706630349,1
Login generate 49 bytes performed by USER_W,1,1706803149,1
Create generate 59041 bytes performed by USER_K,1,1706543949,1
Create generate 13091000 bytes performed by USER_V,1,1705075149,-1
Logout generate 792 bytes performed by USER_L,1,1705247949,1
Edit generate 9988 bytes performed by USER_J,1,1705766349,1
Logout generate 352 bytes performed by USER_I,1,1705939149,1
Login generate 97 bytes performed by USER_K,1,1706889549,1
Login generate 51 bytes performed by USER_W,1,1705420749,1
Edit generate 2325 bytes performed by USER_C,1,1707062349,1
Login generate 60 bytes performed by USER_O,1,1705507149,1
Logout generate 996 bytes performed by USER_I,1,1704729549,1
Logout generate 345 bytes performed by USER_J,1,1705420749,1
Logout generate 862 bytes performed by USER_H,1,1706543949,1
Logout generate 918 bytes performed by USER_X,1,1706198349,1
Create generate 71028 bytes performed by USER_H,1,1706284749,1
Login generate 50 bytes performed by USER_G,1,1707148749,1
Logout generate 187 bytes performed by USER_Y,1,1707235149,1
Login generate 38 bytes performed by USER_L,1,1704988749,1
Edit generate 7259 bytes performed by USER_M,1,1706111949,1
Edit generate 2406 bytes performed by USER_G,1,1706371149,1
Create generate 32100 bytes performed by USER_P,1,1707235149,1
Edit generate 3302 bytes performed by USER_V,1,1705247949,1
Login generate 32 bytes performed by USER_I,1,1705507149,1
Logout generate 433500 bytes performed by USER_Z,1,1706889549,-1
Login generate 1 bytes performed by USER_K,1,1705075149,1
Login generate 22 bytes performed by USER_H,1,1706025549,1
Logout generate 872 bytes performed by USER_Q,1,1706543949,1
Edit generate 2584 bytes performed by USER_Z,1,1705420749,1
Edit generate 7845 bytes performed by USER_F,1,1707148749,1
Create generate 25210 bytes performed by USER_Q,1,1707062349,1
Create generate 14589 bytes performed by USER_Y,1,1705420749,1
Edit generate 9020 bytes performed by USER_M,1,1705507149,1
Create generate 86686 bytes performed by USER_T,1,1704902349,1
Login generate 15 bytes performed by USER_O,1,1704902349,1
Create generate 12306 bytes performed by USER_J,1,1705334349,1
Logout generate 176500 bytes performed by USER_D,1,1706457549,-1
Logout generate 736 bytes performed by USER_U,1,1706198349,1
Logout generate 414 bytes performed by USER_A,1,1705852749,1
Edit generate 9011 bytes performed by USER_J,1,1705507149,1
Logout generate 809 bytes performed by USER_C,1,1705939149,1
Edit generate 3122 bytes performed by USER_H,1,1704902349,1
Edit generate 5626 bytes performed by USER_P,1,1706803149,1
Create generate 49399 bytes performed by USER_C,1,1706025549,1
Edit generate 5975 bytes performed by USER_C,1,1706457549,1
Logout generate 780 bytes performed by USER_F,1,1706716749,1
Logout generate 971 bytes performed by USER_S,1,1706198349,1
Create generate 43821000 bytes performed by USER_Q,1,1707235149,-1
Login generate 100 bytes performed by USER_U,1,1707148749,1
Logout generate 296500 bytes performed by USER_R,1,1705247949,-1
Create generate 97377 bytes performed by USER_Z,1,1706975949,1
Logout generate 367 bytes performed by USER_Z,1,1706025549,1
Create generate 61687 bytes performed by USER_H,1,1705247949,1
Login generate 30000 bytes performed by USER_S,1,1706198349,-1
Create generate 36097 bytes performed by USER_J,1,1706716749,1
Logout generate 695 bytes performed by USER_R,1,1705679949,1
Create generate 29138 bytes performed by USER_J,1,1705679949,1
Logout generate 768 bytes performed by USER_B,1,1706630349,1
Create generate 75078 bytes performed by USER_H,1,1705161549,1
Create generate 94174 bytes performed by USER_D,1,1704902349,1
Edit generate 9675 bytes performed by USER_H,1,1706284749,1
Login generate 35 bytes performed by USER_L,1,1705334349,1
Logout generate 279 bytes performed by USER_U,1,1706111949,1
Logout generate 168 bytes performed by USER_F,1,1705679949,1
Create generate 84984 bytes performed by USER_R,1,1704988749,1
Edit generate 1074 bytes performed by USER_O,1,1705507149,1
Create generate 77898 bytes performed by USER_Q,1,1706630349,1
Login generate 40000 bytes performed by USER_N,1,1705334349,-1
Edit generate 2064 bytes performed by USER_H,1,1705161549,1
Logout generate 864 bytes performed by USER_F,1,1704729549,1
Create generate 45087 bytes performed by USER_H,1,1705939149,1
Edit generate 3397 bytes performed by USER_C,1,1705420749,1
Create generate 14951 bytes performed by USER_I,1,1706543949,1
Create generate 14443 bytes performed by USER_K,1,1705939149,1
Edit generate 3377500 bytes performed by USER_T,1,1706371149,-1
Create generate 29093 bytes performed by USER_O,1,1705247949,1
Login generate 31 bytes performed by USER_M,1,1705939149,1
Login generate 78 bytes performed by USER_O,1,1706803149,1
